computer,human,lower
8,6,6
1,6,1
1,6,1
5,6,5
5,5,5
4,4,4
4,3,3
1,3,1
1,6,1
6,6,6
6,4,4
1,5,1
1,6,1
1,6,1
6,6,6
6,5,5
1,5,1
1,6,1
1,6,1
6,4,4
1,5,1
1,6,1
6,4,4
1,5,1
1,5,1
4,5,4
5,4,4
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
2,3,2
2,3,2
3,3,3
3,3,3
3,2,2
1,4,1
1,6,1
1,6,1
1,6,1
1,6,1
6,6,6
6,6,6
6,5,5
1,5,1
1,5,1
4,6,4
6,8,6
8,6,6
1,8,1
1,7,1
7,8,7
7,7,7
7,7,7
7,6,6
1,6,1
1,6,1
6,6,6
5,6,5
6,5,5
1,6,1
1,6,1
1,6,1
1,6,1
1,6,1
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
5,5,5
5,6,5
6,6,6
6,5,5
1,6,1
1,5,1
5,6,5
6,5,5
1,5,1
1,6,1
1,6,1
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,4,4
1,4,1
1,6,1
5,7,5
7,6,6
1,6,1
1,6,1
1,6,1
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,5,5
1,6,1
1,6,1
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
6,6,6
6,5,5
1,5,1
1,6,1
6,6,6
5,6,5
6,6,6
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
6,5,5
1,5,1
1,6,1
6,6,6
5,5,5
4,5,4
5,6,5
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,6,5
6,6,6
6,6,6
6,6,6
6,6,6
6,7,6
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
6,7,6
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,6,6
1,6,1
1,7,1
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
6,7,6
6,7,6
7,7,7
6,7,6
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
6,7,6
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
6,7,6
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
6,7,6
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,7,7
7,7,7
7,7,7
7,7,7
7,6,6
1,6,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
7,8,7
8,8,8
8,8,8
7,8,7
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
7,8,7
8,8,8
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,8,8
